fecha,retorno_pct
2026-05-01,-0.55
2026-05-02,1.45
2026-05-03,-0.47
2026-05-04,-0.7
2026-05-05,-2.3
2026-05-06,-0.43
2026-05-07,3.01
2026-05-08,1.22
2026-05-09,2.82
2026-05-10,0.77
2026-05-11,1.15
2026-05-12,0.6
2026-05-13,-4.21
2026-05-14,2.34
2026-05-15,1.44
2026-05-16,1.42
2026-05-17,-4.28
2026-05-18,-11.4
2026-05-19,-2.19
2026-05-20,-1.1
2026-05-21,0.91
2026-05-22,0.0
2026-05-23,1.47
2026-05-24,-1.55
2026-05-25,0.92
2026-05-26,1.14
2026-05-27,-1.6
2026-05-28,4.59
2026-05-29,1.57
2026-05-30,3.23
2026-05-31,-1.49
2026-05-32,-1.8
2026-05-33,-0.77
2026-05-34,-0.16
2026-05-35,1.76
2026-05-36,0.77
2026-05-37,-1.04
2026-05-38,-2.37
2026-05-39,-1.23
2026-05-40,3.29
2026-05-41,-1.98
2026-05-42,0.76
2026-05-43,1.23
2026-05-44,-3.75
2026-05-45,9.6
2026-05-46,3.52
2026-05-47,-5.12
2026-05-48,-0.72
2026-05-49,-0.16
2026-05-50,-2.0
2026-05-51,1.41
2026-05-52,-0.04
2026-05-53,-3.69
2026-05-54,2.27
2026-05-55,1.86
2026-05-56,2.58
2026-05-57,3.87
2026-05-58,1.06
2026-05-59,0.43
2026-05-60,-3.26
