fecha,equity,retorno_pct
2026-03-01,101.96,1.96
2026-03-02,105.17,3.15
2026-03-03,103.69,-1.41
2026-03-04,102.0,-1.63
2026-03-05,103.1,1.08
2026-03-06,107.29,4.06
2026-03-07,108.57,1.19
2026-03-08,106.17,-2.21
2026-03-09,104.73,-1.36
2026-03-10,104.94,0.2
2026-03-11,107.43,2.37
2026-03-12,107.74,0.29
2026-03-13,107.23,-0.47
2026-03-14,107.04,-0.18
2026-03-15,107.77,0.68
2026-03-16,106.38,-1.29
2026-03-17,106.72,0.32
2026-03-18,107.67,0.89
2026-03-19,111.82,3.85
2026-03-20,112.03,0.19
2026-03-21,114.72,2.4
2026-03-22,112.54,-1.9
2026-03-23,114.98,2.17
2026-03-24,115.75,0.67
2026-03-25,114.78,-0.84
2026-03-26,115.09,0.27
2026-03-27,117.69,2.26
2026-03-28,117.24,-0.38
2026-03-29,120.21,2.53
2026-03-30,124.54,3.6
2026-03-31,129.3,3.82
2026-03-01,134.24,3.82
2026-03-02,130.99,-2.42
2026-03-03,132.38,1.06
2026-03-04,130.86,-1.15
2026-03-05,133.95,2.36
2026-03-06,134.59,0.48
2026-03-07,135.68,0.81
2026-03-08,137.47,1.32
2026-03-09,136.16,-0.95
2026-03-10,136.88,0.53
2026-03-11,135.2,-1.23
2026-03-12,141.72,4.82
2026-03-13,140.78,-0.66
2026-03-14,141.29,0.36
2026-03-15,135.36,-4.2
2026-03-16,131.16,-3.1
2026-03-17,124.6,-5.0
2026-03-18,121.86,-2.2
2026-03-19,123.69,1.5
2026-03-20,118.99,-3.8
2026-03-21,115.54,-2.9
2026-03-22,116.46,0.8
2026-03-23,114.71,-1.5
2026-03-24,117.23,2.2
2026-03-25,116.64,-0.5
2026-03-26,114.52,-1.82
2026-03-27,115.55,0.9
2026-03-28,118.35,2.42
2026-03-29,118.56,0.18
2026-03-30,119.99,1.21
2026-03-31,120.48,0.41
2026-03-01,119.12,-1.13
2026-03-02,111.35,-6.52
2026-03-03,108.78,-2.31
2026-03-04,109.12,0.31
2026-03-05,105.61,-3.22
2026-03-06,104.67,-0.89
2026-03-07,105.49,0.78
2026-03-08,108.89,3.22
2026-03-09,106.03,-2.63
2026-03-10,105.16,-0.82
2026-03-11,106.02,0.82
2026-03-12,107.58,1.47
2026-03-13,104.72,-2.66
2026-03-14,109.29,4.36
2026-03-15,107.72,-1.44
2026-03-16,110.62,2.69
2026-03-17,110.5,-0.11
2026-03-18,111.84,1.21
2026-03-19,116.25,3.94
2026-03-20,118.42,1.87
2026-03-21,119.14,0.61
2026-03-22,116.94,-1.85
2026-03-23,115.67,-1.09
2026-03-24,112.47,-2.77
2026-03-25,117.77,4.71
2026-03-26,114.18,-3.05
2026-03-27,108.16,-5.27
2026-03-28,112.38,3.9
