fecha,btc_ret,eth_ret,sol_ret
2026-06-01,-2.79,-2.03,-0.36
2026-06-02,-1.08,-2.12,-0.86
2026-06-03,1.3,2.09,-1.04
2026-06-04,-2.95,-1.87,-1.31
2026-06-05,3.83,4.14,2.52
2026-06-06,-0.51,1.88,-0.82
2026-06-07,-1.73,-2.5,-1.06
2026-06-08,0.5,0.11,0.25
2026-06-09,0.81,1.31,2.32
2026-06-10,0.65,-1.06,1.58
2026-06-11,-3.26,-2.92,-4.64
2026-06-12,0.16,-0.57,0.45
2026-06-13,8.07,6.82,7.0
2026-06-14,-3.03,-2.83,-1.06
2026-06-15,-0.07,0.27,0.11
2026-06-16,-2.26,-1.42,-2.88
2026-06-17,4.64,3.49,4.35
2026-06-18,0.16,0.99,-0.85
2026-06-19,2.55,2.05,3.8
2026-06-20,1.65,1.53,-0.09
2026-06-21,1.99,2.12,4.02
2026-06-22,-0.75,-0.14,0.28
2026-06-23,0.83,0.89,0.87
2026-06-24,-1.29,-2.01,-1.53
2026-06-25,1.57,2.69,2.66
2026-06-26,2.68,2.98,2.99
2026-06-27,0.59,1.2,3.25
2026-06-28,-0.64,-1.17,2.69
2026-06-29,0.74,1.5,1.91
2026-06-30,-2.58,0.0,1.04
2026-06-31,0.57,1.17,0.61
2026-06-32,-1.97,-1.78,-0.78
2026-06-33,2.83,3.04,2.07
2026-06-34,3.4,2.21,3.65
2026-06-35,2.82,2.13,-0.89
2026-06-36,-2.03,-1.51,-0.57
2026-06-37,3.87,2.38,2.71
2026-06-38,1.71,1.31,-2.6
2026-06-39,2.09,3.85,3.07
2026-06-40,-2.05,-2.12,-1.08
2026-06-41,6.12,5.76,4.47
2026-06-42,3.89,3.23,5.7
2026-06-43,-1.49,-1.7,0.11
2026-06-44,3.57,3.62,2.98
2026-06-45,-4.22,-4.23,-3.93
2026-06-46,-1.13,-0.43,-1.33
2026-06-47,2.04,1.81,0.9
2026-06-48,0.43,0.75,1.68
2026-06-49,-1.0,-1.06,-2.88
2026-06-50,4.0,4.71,2.51
2026-06-51,-1.0,-1.96,-0.43
2026-06-52,0.65,2.51,0.85
2026-06-53,-1.72,-3.66,1.05
2026-06-54,0.6,-0.93,0.71
2026-06-55,-3.71,-0.02,-0.81
2026-06-56,1.52,1.14,-2.36
2026-06-57,-0.15,-1.53,0.85
2026-06-58,-4.98,-5.05,-1.54
2026-06-59,4.1,2.42,0.41
2026-06-60,2.26,2.69,0.0
