fast,slow,sharpe_is,sharpe_oos,gap,veredicto
3,15,2.012,-0.559,2.572,sobreajustada
4,18,0.903,0.903,0.001,robusta
5,20,-0.655,0.989,-1.644,robusta
5,25,-0.450,2.482,-2.932,robusta
6,22,0.492,1.684,-1.192,robusta
7,28,-1.294,2.217,-3.510,robusta
8,30,2.070,1.317,0.753,robusta
8,35,1.415,1.282,0.133,robusta
10,30,2.474,1.317,1.156,debil
10,40,0.980,-0.270,1.250,debil
10,50,-2.847,-0.125,-2.721,debil
12,35,1.304,1.282,0.022,robusta
12,45,1.345,-1.563,2.908,debil
12,60,-3.230,-3.020,-0.209,debil
15,40,-1.641,-0.270,-1.371,debil
15,55,-4.422,-1.155,-3.267,debil
15,70,-2.863,1.757,-4.620,robusta
18,60,0.030,-3.020,3.050,debil
20,80,0.063,-2.742,2.804,debil
20,100,0.000,0.000,0.000,debil
