date,open,high,low,close,volume
2024-01-01,41916.00,42112.62,41806.62,42000.00,36895
2024-01-02,42000.00,42633.95,41943.01,42243.20,23468
2024-01-03,42243.20,43160.93,42110.59,42722.29,23329
2024-01-04,42722.29,42987.42,42132.03,42639.63,37961
2024-01-05,42639.63,43666.71,42612.04,43299.03,19669
2024-01-06,43299.03,44385.31,43079.58,44012.79,34733
2024-01-07,44012.79,44407.97,43641.49,43674.72,33933
2024-01-08,43674.72,44010.95,43453.69,43574.08,37910
2024-01-09,43574.08,43870.07,43124.77,43350.38,28275
2024-01-10,43350.38,44330.75,43304.59,44064.16,28280
2024-01-11,44064.16,44414.24,43771.94,43928.99,29223
2024-01-12,43928.99,45017.39,43809.53,44527.75,32619
2024-01-13,44527.75,44864.68,43872.09,43932.55,25826
2024-01-14,43932.55,44176.58,43195.55,43532.76,38634
2024-01-15,43532.76,43652.94,42590.23,42827.35,33379
2024-01-16,42827.35,43594.86,42766.98,43426.71,33749
2024-01-17,43426.71,43468.00,42911.41,43464.49,23771
2024-01-18,43464.49,43504.16,43003.11,43178.37,37637
2024-01-19,43178.37,43185.91,42637.57,42791.93,22557
2024-01-20,42791.93,43169.86,42742.42,42904.50,22556
2024-01-21,42904.50,42924.97,41880.57,42293.10,20727
2024-01-22,42293.10,42408.23,41565.02,41952.29,30571
2024-01-23,41952.29,43095.15,41777.12,42733.29,20371
2024-01-24,42733.29,43112.24,42426.11,42737.95,35583
2024-01-25,42737.95,42754.82,42598.45,42687.74,20820
2024-01-26,42687.74,42916.51,42231.80,42842.27,36689
2024-01-27,42842.27,43168.41,41881.48,42060.86,20511
2024-01-28,42060.86,42300.06,41529.12,41831.24,27630
2024-01-29,41831.24,41832.33,40957.68,41082.27,26092
2024-01-30,41082.27,42097.69,40966.75,41944.81,37029
2024-01-31,41944.81,42618.43,41777.79,42549.36,25528
2024-02-01,42549.36,42781.94,42240.29,42327.86,29282
2024-02-02,42327.86,42746.06,41600.57,42026.32,22602
2024-02-03,42026.32,42215.96,42010.75,42071.80,30685
2024-02-04,42071.80,42073.31,41359.89,41629.57,24651
2024-02-05,41629.57,42466.27,41463.93,42289.01,29778
2024-02-06,42289.01,42407.35,41374.63,41864.67,31376
2024-02-07,41864.67,42353.34,41085.51,41401.56,29818
2024-02-08,41401.56,42217.99,41388.25,41839.71,30421
2024-02-09,41839.71,41997.88,40980.58,41005.31,32493
2024-02-10,41005.31,41669.67,40580.51,41280.98,22884
2024-02-11,41280.98,41886.83,41247.60,41465.08,20284
2024-02-12,41465.08,41473.57,40773.87,40942.42,34116
2024-02-13,40942.42,42191.22,40807.64,41817.95,36437
2024-02-14,41817.95,41904.27,40863.02,41359.27,39119
2024-02-15,41359.27,41712.40,41003.41,41089.48,18863
2024-02-16,41089.48,42491.89,40895.26,42076.16,21038
2024-02-17,42076.16,42109.35,40985.72,41317.22,34330
2024-02-18,41317.22,41765.03,41023.22,41056.92,31947
2024-02-19,41056.92,41315.45,40719.73,41121.79,32624
2024-02-20,41121.79,41122.71,40629.00,40922.21,29514
2024-02-21,40922.21,41381.80,40578.27,41085.98,22454
2024-02-22,41085.98,41140.55,40259.02,40277.94,22979
2024-02-23,40277.94,40305.33,39356.72,39815.48,25723
2024-02-24,39815.48,40146.86,39693.51,39999.82,21454
2024-02-25,39999.82,40294.63,39481.13,39766.28,29945
2024-02-26,39766.28,40285.06,39644.36,40097.40,37428
2024-02-27,40097.40,41220.86,39708.61,40794.54,38693
2024-02-28,40794.54,41811.15,40687.12,41547.53,21449
2024-02-29,41547.53,42324.80,41056.47,42221.86,33558
2024-03-01,42221.86,42568.15,41031.73,41501.92,35716
2024-03-02,41501.92,41911.65,41449.77,41521.35,30234
2024-03-03,41521.35,41681.98,40533.00,40962.63,19092
2024-03-04,40962.63,41412.56,40830.71,41234.18,35824
2024-03-05,41234.18,41560.35,40542.28,40771.44,21737
2024-03-06,40771.44,41960.52,40723.14,41462.97,26935
2024-03-07,41462.97,41630.29,41008.19,41274.25,22569
2024-03-08,41274.25,41791.20,40848.28,41529.10,35182
2024-03-09,41529.10,41892.85,41157.61,41627.33,39908
2024-03-10,41627.33,42954.19,41500.69,42543.91,26992
2024-03-11,42543.91,42710.41,42357.72,42561.21,30988
2024-03-12,42561.21,43651.06,42230.68,43251.43,33234
2024-03-13,43251.43,43477.73,42943.42,42953.34,35514
2024-03-14,42953.34,43084.70,42352.54,42433.80,26310
2024-03-15,42433.80,43830.94,42234.09,43393.66,28313
2024-03-16,43393.66,43459.99,42657.41,42850.09,20139
2024-03-17,42850.09,43042.83,42026.58,42511.16,37033
2024-03-18,42511.16,43760.20,42057.52,43412.06,19477
2024-03-19,43412.06,43808.87,42455.68,42596.17,36801
2024-03-20,42596.17,43604.35,42444.80,43303.89,24381
2024-03-21,43303.89,43594.95,42591.09,42687.39,20211
2024-03-22,42687.39,43167.27,41581.05,41982.91,29375
2024-03-23,41982.91,42472.60,41719.13,42243.58,28158
2024-03-24,42243.58,42596.16,42098.13,42282.51,39079
2024-03-25,42282.51,42381.57,42234.43,42257.13,23573
2024-03-26,42257.13,43054.97,41750.51,42685.61,29267
2024-03-27,42685.61,42947.81,41498.54,41827.64,32765
2024-03-28,41827.64,42798.21,41478.27,42453.63,25168
2024-03-29,42453.63,42545.21,41969.97,42138.12,23318
2024-03-30,42138.12,42772.02,42005.13,42303.45,23858
