trade,win,pnl,vol_confirm
1,0,-63.5,1
2,1,71.55,1
3,0,-72.17,0
4,1,35.3,1
5,1,33.92,1
6,1,35.43,1
7,0,-60.91,0
8,0,-107.64,1
9,0,-107.12,1
10,1,79.32,1
11,0,-162.16,0
12,0,-112.99,0
13,0,-146.59,0
14,1,69.32,1
15,1,40.26,1
16,1,27.07,1
17,0,-111.08,0
18,1,38.69,0
19,0,-145.28,1
20,0,-82.88,0
21,0,-149.6,0
22,0,-178.0,0
23,1,22.25,1
24,1,34.77,0
25,0,-104.05,0
26,1,84.02,1
27,1,37.26,1
28,1,60.92,0
29,1,35.35,0
30,1,26.36,1
31,1,63.92,1
32,1,24.45,1
33,0,-134.08,0
34,0,-61.61,0
35,0,-135.18,1
36,0,-75.62,0
37,1,86.77,0
38,1,55.04,1
39,0,-181.87,1
40,0,-145.26,1
41,0,-135.51,0
42,1,20.04,1
43,1,85.04,0
44,0,-103.05,1
45,0,-192.57,1
46,1,24.84,1
47,0,-77.97,0
48,1,38.55,0
49,1,34.83,1
50,0,-88.16,0
