dia,ret
1,0.0249
2,0.0213
3,0.0067
4,-0.001
5,-0.32
6,0.0132
7,0.0001
8,0.0086
9,-0.0213
10,0.0115
11,0.0028
12,0.0237
13,-0.0362
14,0.0059
15,0.0108
16,0.009
17,0.0114
18,0.0463
19,0.0101
20,0.0001
21,-0.0189
22,0.015
23,-0.013
24,0.0113
25,-0.0051
26,0.0011
27,-0.0093
28,0.0307
29,-0.0133
30,0.007
31,-0.0335
32,0.0132
33,0.0034
34,0.0114
35,0.0032
36,-0.0106
37,0.4
38,0.0056
39,0.0149
40,0.0102
41,-0.0112
42,0.0441
43,-0.0029
44,-0.0287
45,0.0184
46,0.0265
47,-0.0049
48,0.0108
49,0.03
50,-0.0139
