dia,open,high,low,close
1,600.0,600.91,589.62,599.85
2,599.85,602.09,596.59,598.92
3,598.92,599.05,598.17,598.85
4,598.85,603.41,593.53,600.85
5,600.85,609.87,597.81,597.93
6,597.93,614.47,589.47,612.07
7,612.07,628.78,607.15,619.75
8,619.75,622.65,615.86,617.95
9,617.95,631.26,608.15,628.04
10,628.04,633.25,624.2,626.46
11,626.46,639.52,616.62,636.87
12,636.87,647.93,629.49,632.34
13,632.34,649.49,624.25,648.89
14,648.89,656.38,630.24,630.89
15,630.89,631.61,622.42,630.97
16,630.97,637.07,613.07,632.53
17,632.53,634.29,615.92,617.91
18,617.91,630.64,604.72,610.48
19,610.48,614.61,601.19,605.29
20,605.29,607.12,599.02,599.22
21,599.22,602.02,591.7,600.62
22,600.62,607.75,599.12,604.66
23,604.66,625.3,589.59,608.74
24,608.74,612.94,607.06,612.76
25,612.76,622.98,591.54,599.89
26,599.89,607.35,593.84,603.68
27,603.68,608.5,592.3,600.58
28,600.58,609.45,592.78,597.03
29,597.03,597.16,596.52,597.11
30,597.11,610.98,593.7,606.52
31,606.52,610.66,598.91,599.74
32,599.74,603.87,592.82,596.29
33,596.29,604.53,584.65,590.62
34,590.62,593.92,582.16,586.9
35,586.9,588.19,582.49,584.89
36,584.89,597.17,580.06,595.51
37,595.51,601.16,590.49,596.33
38,596.33,603.69,596.32,599.49
39,599.49,610.98,593.17,601.45
40,601.45,607.3,599.23,603.05
41,603.05,616.17,593.66,597.48
42,597.48,606.77,592.0,601.35
43,601.35,609.85,587.02,604.17
44,604.17,607.18,598.45,600.19
45,600.19,606.86,599.16,602.82
46,602.82,604.88,599.97,602.0
47,602.0,606.07,597.68,603.53
48,603.53,610.29,603.29,607.88
49,607.88,623.08,607.35,619.46
50,619.46,627.13,613.39,615.81
