fecha,btc,eth,sol
2024-01-01,-0.030669,-0.014588,0.01712
2024-01-02,0.022794,0.012594,-0.040872
2024-01-03,0.033402,0.031769,-0.070459
2024-01-04,0.021794,-0.000528,-0.065285
2024-01-05,0.041743,0.036473,0.022001
2024-01-06,0.001293,-0.013169,0.057583
2024-01-07,-0.038645,-0.050144,0.055034
2024-01-08,-0.000407,-0.019333,0.020071
2024-01-09,0.014713,0.01848,0.018641
2024-01-10,0.012825,-0.017147,-0.101035
2024-01-11,-0.015622,-0.042392,-0.000789
2024-01-12,-0.056475,-0.059453,-0.023254
2024-01-13,0.059857,0.053516,0.063283
2024-01-14,0.001123,0.012447,-0.008876
2024-01-15,0.014238,0.023444,0.006688
2024-01-16,-0.016656,0.003429,0.009108
2024-01-17,-0.021869,-0.026187,0.021117
2024-01-18,0.019223,0.008161,0.026572
2024-01-19,0.027842,0.04955,0.10015
2024-01-20,-0.025194,-0.021902,0.069767
2024-01-21,-0.014546,-0.005775,0.021441
2024-01-22,-0.018465,-0.030121,-0.031881
2024-01-23,-0.02932,-0.014988,0.082011
2024-01-24,-0.022101,-0.038434,0.042625
2024-01-25,-0.002161,-0.009244,0.007034
2024-01-26,-0.047701,-0.042239,-0.02209
2024-01-27,0.061236,0.045517,-0.043053
2024-01-28,-0.038948,-0.020778,0.050467
2024-01-29,-0.009826,0.005457,0.051974
2024-01-30,0.051078,0.056403,0.005173
2024-01-31,-0.010612,-0.007773,0.002802
2024-02-01,0.002428,-0.008759,0.085871
2024-02-02,0.018663,0.013181,0.027384
2024-02-03,0.04875,0.031102,-0.003904
2024-02-04,-0.024009,-0.034,-0.028596
2024-02-05,0.043704,0.062809,0.046976
2024-02-06,-0.029963,-0.044857,0.041179
2024-02-07,0.054324,0.055233,-0.046037
2024-02-08,0.033187,0.017859,-0.098572
2024-02-09,0.016705,-0.017622,0.033432
2024-02-10,-0.007395,0.028342,0.033487
2024-02-11,0.045825,0.029062,0.052046
2024-02-12,0.027282,0.002016,0.035509
2024-02-13,0.037126,0.068544,-0.077825
2024-02-14,-0.035053,-0.033998,0.054015
2024-02-15,0.001869,0.002752,-0.014662
2024-02-16,0.010806,0.034961,0.071555
2024-02-17,0.01837,-0.003128,0.017749
2024-02-18,-0.044535,-0.053118,-0.012663
2024-02-19,-0.043771,-0.023425,-0.048849
