fecha,ret,split
2024-01-01,0.018598,IS
2024-01-02,-0.003134,IS
2024-01-03,-0.016825,IS
2024-01-04,0.014739,IS
2024-01-05,0.019487,IS
2024-01-06,0.012594,IS
2024-01-07,-0.036732,IS
2024-01-08,-0.020365,IS
2024-01-09,0.014018,IS
2024-01-10,0.02811,IS
2024-01-11,-0.019713,IS
2024-01-12,0.019725,IS
2024-01-13,0.022105,IS
2024-01-14,0.004479,IS
2024-01-15,-0.017226,IS
2024-01-16,-0.006045,IS
2024-01-17,-0.001592,IS
2024-01-18,0.015254,IS
2024-01-19,0.018589,IS
2024-01-20,-0.01159,IS
2024-01-21,0.002566,IS
2024-01-22,0.003641,IS
2024-01-23,0.001402,IS
2024-01-24,0.019335,IS
2024-01-25,-0.000546,IS
2024-01-26,0.00268,IS
2024-01-27,-0.01994,IS
2024-01-28,0.006138,IS
2024-01-29,-0.01122,IS
2024-01-30,0.03397,IS
2024-01-31,0.007793,OOS
2024-02-01,-0.037552,OOS
2024-02-02,-0.000683,OOS
2024-02-03,0.035783,OOS
2024-02-04,-0.029869,OOS
2024-02-05,0.012185,OOS
2024-02-06,-0.01164,OOS
2024-02-07,0.031948,OOS
2024-02-08,-0.008673,OOS
2024-02-09,-0.011946,OOS
2024-02-10,0.034337,OOS
2024-02-11,0.026571,OOS
2024-02-12,-0.006465,OOS
2024-02-13,-0.03969,OOS
2024-02-14,-0.033044,OOS
2024-02-15,0.00977,OOS
2024-02-16,0.010195,OOS
2024-02-17,-0.028445,OOS
2024-02-18,0.026016,OOS
2024-02-19,0.011568,OOS
