fecha,ret
2024-01-01,0.031523
2024-01-02,0.00798
2024-01-03,0.010347
2024-01-04,0.021214
2024-01-05,0.013597
2024-01-06,0.03298
2024-01-07,-0.015395
2024-01-08,0.021709
2024-01-09,0.007143
2024-01-10,0.028935
2024-01-11,0.028339
2024-01-12,0.021726
2024-01-13,-0.004119
2024-01-14,-0.003703
2024-01-15,0.008659
2024-01-16,-0.003079
2024-01-17,-0.0284
2024-01-18,-0.020207
2024-01-19,0.011716
2024-01-20,-0.013433
2024-01-21,-0.000315
2024-01-22,0.004947
2024-01-23,-0.020027
2024-01-24,-0.002438
2024-01-25,0.028723
2024-01-26,0.029558
2024-01-27,0.013729
2024-01-28,0.014088
2024-01-29,0.000647
2024-01-30,0.005735
2024-01-31,0.019365
2024-02-01,-0.022353
2024-02-02,-0.002688
2024-02-03,-0.001099
2024-02-04,0.019554
2024-02-05,-0.013693
2024-02-06,0.039069
2024-02-07,-0.007771
2024-02-08,0.041591
2024-02-09,0.004605
2024-02-10,0.007419
2024-02-11,0.034883
2024-02-12,-0.026074
2024-02-13,0.017795
2024-02-14,0.036051
2024-02-15,-0.011049
2024-02-16,0.019118
2024-02-17,-0.004884
2024-02-18,0.021235
2024-02-19,-0.000346
