dia,close
1,198.18
2,197.55
3,193.27
4,188.75
5,191.91
6,197.21
7,197.02
8,201.08
9,202.63
10,200.12
11,201.67
12,207.97
13,207.92
14,214.54
15,203.40
16,206.85
17,207.31
18,206.17
19,206.66
20,198.54
21,197.77
22,199.28
23,205.27
24,203.25
25,200.06
26,198.16
27,201.88
28,203.31
29,201.26
30,203.42
31,203.92
32,207.97
33,205.16
34,203.92
35,202.42
36,196.60
37,197.86
38,198.99
39,199.11
40,198.28
41,192.76
42,191.24
43,190.02
44,187.07
45,186.56
46,188.16
47,195.35
48,196.13
49,197.24
50,197.04
51,189.58
52,189.57
53,189.90
54,199.35
55,198.68
56,199.98
57,199.94
58,195.37
59,199.93
60,203.04
