dia,close,high,low,volumen
1,147.17,147.63,146.76,3686
2,145.42,146.33,144.6,9326
3,146.95,147.38,146.56,5115
4,145.44,146.88,144.14,6893
5,142.46,143.22,141.78,3848
6,143.13,143.39,142.9,5361
7,144.64,145.1,144.23,6910
8,143.45,144.99,142.07,6123
9,142.47,142.8,142.18,3895
10,146.76,147.63,145.98,10562
11,145.87,146.34,145.45,4079
12,145.01,145.54,144.53,7712
13,146.85,147.44,146.32,5946
14,148.42,149.55,147.4,5484
15,151.38,152.17,150.67,7582
16,153.29,154.14,152.52,6480
17,152.98,153.42,152.58,8712
18,153.23,154.05,152.5,5016
19,152.43,152.75,152.14,2517
20,153.75,154.71,152.88,6350
21,154.9,155.49,154.37,3513
22,153.07,153.4,152.77,5507
23,153.71,154.67,152.84,4409
24,152.51,153.12,151.96,5903
25,152.55,152.85,152.28,6809
26,152.01,152.46,151.61,5215
27,152.49,152.84,152.18,4127
28,148.3,148.76,147.88,6859
29,148.5,148.8,148.23,3708
30,146.3,148.08,144.7,5775
31,147.94,148.24,147.67,6620
32,146.36,147.1,145.69,6450
33,145.38,146.0,144.83,6673
34,144.18,144.64,143.76,1678
35,144.5,145.69,143.43,6212
36,146.32,147.35,145.39,7272
37,147.03,147.73,146.4,1200
38,147.18,147.41,146.97,6551
39,147.56,148.04,147.13,4731
40,147.54,148.25,146.9,2062
41,147.71,148.55,146.95,5124
42,146.63,147.45,145.89,3392
43,146.34,146.95,145.79,4308
44,148.75,149.06,148.47,7706
45,151.04,151.52,150.61,8156
46,148.64,149.04,148.28,8866
47,148.04,148.85,147.32,4445
48,148.37,148.8,147.98,1200
49,147.66,148.1,147.27,4011
50,146.58,147.69,145.58,5956
51,146.44,147.37,145.6,5914
52,148.15,149.71,146.74,6237
53,150.26,150.53,150.02,4163
54,150.78,151.67,149.97,3862
55,152.37,152.66,152.11,3766
56,152.57,153.28,151.93,4488
57,153.39,153.89,152.94,1805
58,153.28,154.28,152.38,4584
59,150.81,151.79,149.93,8146
60,149.43,149.9,149.0,3454
