date,open,high,low,close,volume
2026-01-01,67000.00,67137.06,66800.8,66861.27,592.6
2026-01-02,66861.27,66922.71,66606.45,66675.34,570.7
2026-01-03,66675.34,67638.91,66570.05,67571.63,506.9
2026-01-04,67571.63,67854.21,67448.56,67789.48,351.9
2026-01-05,67789.48,68262.35,66244.82,66481.39,931.7
2026-01-06,66481.39,66984.89,66023.33,66174.36,403.0
2026-01-07,66174.36,66590.49,65999.36,66485.67,319.2
2026-01-08,66485.67,68260.38,66299.47,67922.45,466.7
2026-01-09,67922.45,67951.36,67538.76,67709.95,703.9
2026-01-10,67709.95,68191.63,67606.6,67979.51,630.9
2026-01-11,67979.51,68046.06,67273.43,67388.4,368.0
2026-01-12,67388.40,67682.08,66105.29,66251.09,853.9
2026-01-13,66251.09,66467.67,66101.19,66232.96,502.0
2026-01-14,66232.96,66256.51,66080.99,66249.69,556.5
2026-01-15,66249.69,67558.96,66218.08,67461.21,854.1
2026-01-16,67461.21,67623.42,66099.45,66476.95,637.7
2026-01-17,66476.95,66618.18,65432.46,65771.54,545.1
2026-01-18,65771.54,65819.35,64155.7,64233.7,720.1
2026-01-19,64233.70,64880.72,62743.62,62833.45,477.1
2026-01-20,62833.45,62859.72,62294.67,62341.14,535.5
2026-01-21,62341.14,62696.08,61943.65,62587.34,279.6
2026-01-22,62587.34,63118.62,62338.06,63114.85,851.0
2026-01-23,63114.85,64036.71,62616.53,63901.34,810.8
2026-01-24,63901.34,64036.9,63324.6,63479.33,499.8
2026-01-25,63479.33,63888.16,62405.92,62544.01,315.7
2026-01-26,62544.01,62564.64,62312.81,62493.87,553.4
2026-01-27,62493.87,62597.54,61801.66,62060.25,464.3
2026-01-28,62060.25,62704.51,61811.63,62142.27,711.7
2026-01-29,62142.27,62175.76,61138.87,61175.34,872.6
2026-01-30,61175.34,61268.67,60529.26,61017.75,794.4
2026-01-31,61017.75,61171.89,60229.34,60502.49,227.9
2026-01-32,60502.49,61339.37,60434.48,61186.65,305.0
2026-01-33,61186.65,61254.55,60978.45,61118.47,258.1
2026-01-34,61118.47,61216.62,61076.47,61180.2,853.2
2026-01-35,61180.20,61271.37,60924.27,60927.46,460.4
2026-01-36,60927.46,62007.46,60596.98,61663.79,944.7
2026-01-37,61663.79,61723.95,60796.78,60893.8,443.8
2026-01-38,60893.80,61171.57,60438.1,61129.03,304.3
2026-01-39,61129.03,63062.17,60993.51,62972.72,598.2
2026-01-40,62972.72,63276.98,62908.35,62960.54,933.4
