date,close
2026-03-01,49.69
2026-03-02,50.07
2026-03-03,50.42
2026-03-04,51.04
2026-03-05,51.18
2026-03-06,50.7
2026-03-07,49.94
2026-03-08,50.8
2026-03-09,49.16
2026-03-10,48.84
2026-03-11,48.17
2026-03-12,48.32
2026-03-13,48.03
2026-03-14,47.8
2026-03-15,48.46
2026-03-16,48.15
2026-03-17,47.41
2026-03-18,48.2
2026-03-19,48.91
2026-03-20,49.89
2026-03-21,50.39
2026-03-22,49.93
2026-03-23,50.9
2026-03-24,50.69
2026-03-25,50.92
2026-03-26,50.17
2026-03-27,49.78
2026-03-28,50.22
2026-03-29,50.83
2026-03-30,50.96
2026-03-31,52.0
2026-03-32,52.04
2026-03-33,50.52
2026-03-34,51.0
2026-03-35,49.45
2026-03-36,48.3
2026-03-37,48.08
2026-03-38,48.57
2026-03-39,49.05
2026-03-40,48.94
2026-03-41,49.29
2026-03-42,48.43
2026-03-43,50.26
2026-03-44,50.17
2026-03-45,50.16
2026-03-46,50.09
2026-03-47,51.03
2026-03-48,51.26
2026-03-49,51.5
2026-03-50,51.32
