date,close,equity
2026-01-05,101.20,10108.00
2026-01-06,100.39,10035.22
2026-01-07,101.90,10170.70
2026-01-08,102.51,10225.62
2026-01-09,100.25,10023.15
2026-01-10,98.75,9887.84
2026-01-11,99.64,9967.93
2026-01-12,96.55,9689.83
2026-01-13,95.39,9585.18
2026-01-14,97.11,9740.46
2026-01-15,98.18,9836.89
2026-01-16,97.59,9783.77
2026-01-17,99.64,9968.68
2026-01-18,100.43,10040.45
2026-01-19,99.03,9913.95
2026-01-20,100.71,10065.63
2026-01-21,99.80,9984.10
2026-01-22,101.10,10100.91
2026-01-23,101.61,10146.36
2026-01-24,98.86,9899.81
2026-01-25,96.98,9730.52
2026-01-26,96.21,9660.46
2026-01-27,97.56,9782.18
2026-01-28,99.41,9949.46
2026-01-29,100.11,10012.14
2026-01-30,99.00,9913.02
2026-01-31,100.59,10055.77
2026-02-01,101.49,10137.22
2026-02-02,102.71,10246.70
2026-02-03,102.20,10200.59
2026-02-04,103.02,10274.04
2026-02-05,101.68,10153.83
2026-02-06,103.61,10327.46
2026-02-07,104.75,10429.70
2026-02-08,105.38,10486.02
2026-02-09,103.58,10325.59
2026-02-10,103.17,10288.41
2026-02-11,104.72,10427.31
2026-02-12,105.77,10521.15
2026-02-13,106.51,10587.44
2026-02-14,107.89,10711.31
2026-02-15,107.24,10653.47
2026-02-16,108.21,10739.76
2026-02-17,109.72,10875.08
2026-02-18,109.39,10845.72
2026-02-19,110.60,10953.09
2026-02-20,111.48,11031.95
2026-02-21,112.04,11081.60
2026-02-22,113.38,11201.28
2026-02-23,114.40,11292.01
