fast,slow,sharpe,ret_anual,vol_anual,max_dd,f_kelly,f_objetivo,veredicto
5,50,2.28,0.5007,0.2196,-0.0946,10.4,0.683,robusta
8,50,1.931,0.4164,0.2156,-0.0946,9.0,0.696,robusta
10,50,1.931,0.4164,0.2156,-0.0946,9.0,0.696,robusta
15,50,1.771,0.3796,0.2144,-0.0946,8.3,0.7,robusta
8,20,1.179,0.3037,0.2575,-0.1124,4.6,0.582,robusta
8,30,1.121,0.2685,0.2395,-0.1041,4.7,0.626,robusta
10,20,1.025,0.2634,0.257,-0.1124,4.0,0.584,robusta
10,30,0.941,0.2238,0.238,-0.1041,4.0,0.63,debil
5,20,0.804,0.2066,0.2568,-0.1327,3.1,0.584,debil
15,20,0.769,0.1913,0.2489,-0.1124,3.1,0.603,debil
15,30,0.62,0.1439,0.2322,-0.1041,2.7,0.646,debil
5,30,0.598,0.1405,0.2348,-0.1097,2.5,0.639,debil
