trade,capital,riesgo_pct,entrada,stop,riesgo_usd,tamano
1,10000.00,1.0,30457.08,30013.08,100.00,0.225225
2,10000.00,2.0,31125.68,30384.60,200.00,0.269876
3,10000.00,1.0,27073.45,26668.78,100.00,0.247115
4,10000.00,2.0,30191.76,29639.20,200.00,0.361952
5,10000.00,1.0,29974.80,29502.76,100.00,0.211846
6,10000.00,2.0,31319.10,30602.43,200.00,0.279068
7,10000.00,1.0,30099.05,29329.96,100.00,0.130024
8,10000.00,2.0,30701.26,30230.15,200.00,0.424529
9,10000.00,1.0,30553.13,30096.96,100.00,0.219217
10,10000.00,2.0,31317.68,30725.17,200.00,0.337547
11,10000.00,1.0,29722.71,29224.85,100.00,0.20086
12,10000.00,2.0,31833.81,31256.99,200.00,0.346729
13,10000.00,1.0,29357.51,28810.33,100.00,0.182755
14,10000.00,2.0,30798.46,30143.64,200.00,0.305427
15,10000.00,1.0,30619.10,29954.48,100.00,0.150462
16,10000.00,2.0,33212.47,32673.43,200.00,0.37103
17,10000.00,1.0,29231.64,28753.71,100.00,0.209236
18,10000.00,2.0,30923.97,30154.62,200.00,0.25996
19,10000.00,1.0,29829.08,29355.10,100.00,0.210979
20,10000.00,2.0,28763.28,28065.69,200.00,0.286701
21,10000.00,1.0,31114.88,30433.41,100.00,0.146742
22,10000.00,2.0,29001.74,28366.92,200.00,0.31505
23,10000.00,1.0,30175.03,29542.23,100.00,0.158028
24,10000.00,2.0,31307.14,30673.60,200.00,0.315686
25,10000.00,1.0,31018.37,30408.23,100.00,0.163897
26,10000.00,2.0,30433.68,29738.99,200.00,0.287898
27,10000.00,1.0,27814.27,27262.22,100.00,0.181143
28,10000.00,2.0,29294.44,28790.27,200.00,0.396692
29,10000.00,1.0,29587.29,28763.05,100.00,0.121324
30,10000.00,2.0,28701.25,27956.01,200.00,0.26837
31,10000.00,1.0,27475.70,26925.93,100.00,0.181894
32,10000.00,2.0,30244.13,29556.20,200.00,0.290727
33,10000.00,1.0,31066.84,30347.84,100.00,0.139082
34,10000.00,2.0,29476.91,28946.26,200.00,0.376896
35,10000.00,1.0,31286.96,30715.66,100.00,0.175039
36,10000.00,2.0,28086.47,27656.46,200.00,0.465105
37,10000.00,1.0,28620.82,27946.25,100.00,0.148243
38,10000.00,2.0,30213.64,29510.07,200.00,0.284265
39,10000.00,1.0,29359.12,28735.34,100.00,0.160313
40,10000.00,2.0,30938.39,30384.79,200.00,0.361272
41,10000.00,1.0,30685.16,30184.45,100.00,0.199716
42,10000.00,2.0,29455.42,28912.68,200.00,0.368501
43,10000.00,1.0,28206.24,27533.19,100.00,0.148577
44,10000.00,2.0,29295.90,28694.03,200.00,0.332298
45,10000.00,1.0,30721.12,30054.14,100.00,0.14993
46,10000.00,2.0,30998.08,30412.85,200.00,0.341746
47,10000.00,1.0,29365.05,28777.01,100.00,0.170056
48,10000.00,2.0,27469.00,27086.07,200.00,0.522289
49,10000.00,1.0,28015.95,27565.54,100.00,0.22202
50,10000.00,2.0,30599.66,30135.48,200.00,0.430867
