trade,entrada,stop,take,riesgo,beneficio,rr,resultado,pnl
1,29546.20,28890.29,30847.33,655.91,1301.13,1.984,loss,-655.91
2,28879.66,28404.31,29801.86,475.35,922.20,1.94,loss,-475.35
3,31008.37,30715.65,31606.84,292.72,598.47,2.045,loss,-292.72
4,29287.02,28960.55,29942.12,326.47,655.10,2.007,loss,-326.47
5,30279.21,29776.59,31332.50,502.62,1053.29,2.096,loss,-502.62
6,28771.80,28250.29,29821.42,521.51,1049.62,2.013,loss,-521.51
7,31002.13,30459.31,32131.67,542.82,1129.54,2.081,loss,-542.82
8,29232.30,28843.49,29998.23,388.81,765.93,1.97,win,765.93
9,30762.18,30288.85,31664.72,473.33,902.54,1.907,loss,-473.33
10,30376.22,29775.64,31637.28,600.58,1261.06,2.1,loss,-600.58
11,30497.29,30116.03,31195.85,381.26,698.56,1.832,win,698.56
12,29024.47,28574.31,29906.43,450.16,881.96,1.959,win,881.96
13,31279.18,30760.33,32312.12,518.85,1032.94,1.991,loss,-518.85
14,27990.38,27548.74,28872.05,441.64,881.67,1.996,loss,-441.64
15,30156.33,29538.40,31377.21,617.93,1220.88,1.976,win,1220.88
16,28841.86,28428.89,29731.65,412.97,889.79,2.155,loss,-412.97
17,31006.19,30614.54,31817.44,391.65,811.25,2.071,win,811.25
18,29812.03,29316.92,30782.61,495.11,970.58,1.96,win,970.58
19,29454.02,29101.09,30121.54,352.93,667.52,1.891,loss,-352.93
20,31894.91,31375.71,32929.75,519.20,1034.84,1.993,loss,-519.20
21,31567.20,31040.87,32607.53,526.33,1040.33,1.977,win,1040.33
22,30514.51,29830.22,31888.59,684.29,1374.08,2.008,loss,-684.29
23,28358.21,27660.10,29806.14,698.11,1447.93,2.074,win,1447.93
24,29540.18,28864.81,30857.71,675.37,1317.53,1.951,win,1317.53
25,30771.99,30319.34,31677.14,452.65,905.15,2.0,win,905.15
26,30405.09,29736.19,31745.61,668.90,1340.52,2.004,loss,-668.90
27,27539.79,27045.64,28502.79,494.15,963.00,1.949,loss,-494.15
28,28946.22,28486.31,29893.52,459.91,947.30,2.06,loss,-459.91
29,30036.76,29594.86,30910.73,441.90,873.97,1.978,loss,-441.90
30,30645.74,29985.25,31962.08,660.49,1316.34,1.993,loss,-660.49
31,29731.37,29202.27,30794.87,529.10,1063.50,2.01,win,1063.50
32,30108.59,29581.20,31238.89,527.39,1130.30,2.143,loss,-527.39
33,28976.11,28510.60,29863.23,465.51,887.12,1.906,loss,-465.51
34,30378.73,29734.03,31646.26,644.70,1267.53,1.966,loss,-644.70
35,27423.25,26942.77,28352.34,480.48,929.09,1.934,loss,-480.48
36,32653.25,32216.78,33499.88,436.47,846.63,1.94,loss,-436.47
37,27890.73,27566.78,28602.51,323.95,711.78,2.197,win,711.78
38,28683.86,27963.43,30211.87,720.43,1528.01,2.121,win,1528.01
39,29558.10,29017.11,30691.94,540.99,1133.84,2.096,win,1133.84
40,29705.67,29112.39,30905.27,593.28,1199.60,2.022,win,1199.60
41,29839.41,29504.40,30502.28,335.01,662.87,1.979,win,662.87
42,30278.60,29845.24,31159.47,433.36,880.87,2.033,loss,-433.36
43,30186.52,29644.31,31272.53,542.21,1086.01,2.003,loss,-542.21
44,29134.13,28596.15,30207.17,537.98,1073.04,1.995,win,1073.04
45,31888.03,31341.73,32957.74,546.30,1069.71,1.958,win,1069.71
46,30313.39,29946.88,31082.14,366.51,768.75,2.097,win,768.75
47,30576.17,30285.52,31185.29,290.65,609.12,2.096,loss,-290.65
48,28667.48,28224.06,29562.23,443.42,894.75,2.018,loss,-443.42
49,29649.39,29161.81,30616.99,487.58,967.60,1.984,loss,-487.58
50,31765.79,31573.79,32142.68,192.00,376.89,1.963,loss,-192.00
