dia,retorno,equity,peak,drawdown_pct
1,0.00455,10045.50,10045.50,0.0
2,-0.00346,10010.74,10045.50,-0.346
3,-0.02008,9809.72,10045.50,-2.347
4,0.00494,9858.18,10045.50,-1.865
5,0.02173,10072.40,10072.40,0.0
6,-0.01741,9897.04,10072.40,-1.741
7,0.01137,10009.57,10072.40,-0.624
8,-0.00294,9980.14,10072.40,-0.916
9,0.00026,9982.73,10072.40,-0.89
10,-0.01163,9866.63,10072.40,-2.043
11,-0.00301,9836.93,10072.40,-2.338
12,0.01660,10000.22,10072.40,-0.717
13,0.00799,10080.12,10080.12,0.0
14,0.02179,10299.77,10299.77,0.0
15,0.01513,10455.61,10455.61,0.0
16,0.00627,10521.17,10521.17,0.0
17,0.02193,10751.90,10751.90,0.0
18,0.00627,10819.31,10819.31,0.0
19,0.01094,10937.67,10937.67,0.0
20,-0.00256,10909.67,10937.67,-0.256
21,0.00180,10929.31,10937.67,-0.076
22,-0.00737,10848.76,10937.67,-0.813
23,0.01288,10988.49,10988.49,0.0
24,-0.01314,10844.10,10988.49,-1.314
25,0.01039,10956.77,10988.49,-0.289
26,-0.00129,10942.64,10988.49,-0.417
27,0.01505,11107.33,11107.33,0.0
28,0.01001,11218.51,11218.51,0.0
29,0.02285,11474.85,11474.85,0.0
30,0.00977,11586.96,11586.96,0.0
31,-0.01786,11380.02,11586.96,-1.786
32,0.00020,11382.30,11586.96,-1.766
33,-0.01306,11233.65,11586.96,-3.049
34,-0.00522,11175.01,11586.96,-3.555
35,0.01913,11388.79,11586.96,-1.71
36,0.00865,11487.30,11586.96,-0.86
37,-0.00739,11402.41,11586.96,-1.593
38,-0.01116,11275.16,11586.96,-2.691
39,0.00139,11290.83,11586.96,-2.556
40,-0.01360,11137.27,11586.96,-3.881
41,-0.00705,11058.75,11586.96,-4.559
42,0.00474,11111.17,11586.96,-4.106
43,0.01486,11276.28,11586.96,-2.681
44,0.00831,11369.99,11586.96,-1.873
45,-0.02650,11068.69,11586.96,-4.473
46,0.00465,11120.16,11586.96,-4.029
47,0.00186,11140.84,11586.96,-3.85
48,0.00597,11207.35,11586.96,-3.276
49,0.02039,11435.87,11586.96,-1.304
50,-0.02376,11164.15,11586.96,-3.649
