dia,retorno,exposicion_neta,capital
1,-0.01114,0.472,20000.00
2,-0.02897,0.453,20000.00
3,0.00613,0.651,20000.00
4,-0.01078,0.803,20000.00
5,0.01873,0.939,20000.00
6,0.00372,0.562,20000.00
7,-0.01604,0.589,20000.00
8,-0.00325,0.489,20000.00
9,0.01750,0.663,20000.00
10,-0.00275,0.838,20000.00
11,-0.01388,0.962,20000.00
12,0.00314,0.688,20000.00
13,-0.00029,0.992,20000.00
14,0.01492,0.971,20000.00
15,0.00947,0.91,20000.00
16,-0.00419,0.473,20000.00
17,0.02838,0.812,20000.00
18,0.00144,0.673,20000.00
19,-0.02934,0.577,20000.00
20,-0.02932,0.665,20000.00
21,0.00741,0.951,20000.00
22,0.00447,0.466,20000.00
23,-0.04208,0.928,20000.00
24,-0.00899,0.902,20000.00
25,0.01214,0.999,20000.00
26,-0.01242,0.79,20000.00
27,0.01318,0.938,20000.00
28,0.00904,0.544,20000.00
29,-0.00373,0.866,20000.00
30,0.01427,0.946,20000.00
31,0.00888,0.422,20000.00
32,-0.00262,0.431,20000.00
33,-0.03638,0.881,20000.00
34,-0.02718,0.91,20000.00
35,-0.01271,0.881,20000.00
36,-0.00563,0.863,20000.00
37,0.01911,0.903,20000.00
38,-0.00174,0.475,20000.00
39,-0.00227,0.847,20000.00
40,0.00116,0.911,20000.00
41,-0.01120,0.841,20000.00
42,-0.01649,0.562,20000.00
43,0.01396,0.988,20000.00
44,-0.02538,0.433,20000.00
45,-0.01923,0.425,20000.00
46,-0.00286,0.826,20000.00
47,0.01621,0.455,20000.00
48,-0.01011,0.988,20000.00
49,-0.01228,0.87,20000.00
50,-0.00391,0.743,20000.00
