trade_id,precio_entrada,precio_salida,margen_usdt,apalancamiento,pnl_pct,pnl_usdt,liquidado
1,57178.8,55463.4,100,2,-6.0,-6.0,0
2,60836.6,64486.8,100,2,12.0,12.0,0
3,59019.6,53117.6,100,2,-20.0,-20.0,0
4,62838.7,55926.4,100,2,-22.0,-22.0,0
5,60814.1,27366.3,100,2,-100.0,-100.0,1
6,58322.6,62988.4,100,2,16.0,16.0,0
7,61060.2,61670.8,100,2,2.0,2.0,0
8,58667.8,31093.9,100,2,-100.0,-100.0,1
9,58339.3,59506.1,100,2,4.0,4.0,0
10,60032.1,55229.5,100,2,-16.0,-16.0,0
11,57606.0,27650.9,100,2,-100.0,-100.0,1
12,61188.8,58741.2,100,2,-8.0,-8.0,0
13,61842.8,64007.3,100,2,7.0,7.0,0
14,57039.0,46772.0,100,2,-36.0,-36.0,0
15,60217.4,63529.4,100,2,11.0,11.0,0
16,59189.0,30186.4,100,2,-100.0,-100.0,1
17,60711.1,55247.1,100,2,-18.0,-18.0,0
18,61378.4,57081.9,100,2,-14.0,-14.0,0
19,62085.0,68914.4,100,2,22.0,22.0,0
20,61856.6,69279.4,100,2,24.0,24.0,0
21,62353.1,62664.9,100,2,1.0,1.0,0
22,58650.2,60409.7,100,2,6.0,6.0,0
23,59531.5,58340.9,100,2,-4.0,-4.0,0
24,57159.2,50300.1,100,2,-24.0,-24.0,0
25,61976.4,64765.3,100,2,9.0,9.0,0
26,57580.3,49519.1,100,2,-28.0,-28.0,0
27,57521.6,56946.4,100,2,-2.0,-2.0,0
28,57150.1,59436.1,100,2,8.0,8.0,0
29,60312.2,50662.2,100,2,-32.0,-32.0,0
30,61227.4,66431.7,100,2,17.0,17.0,0
31,57556.5,62736.6,100,2,18.0,18.0,0
32,61834.9,64926.6,100,2,10.0,10.0,0
33,60899.3,48719.4,100,2,-40.0,-40.0,0
34,58396.7,30366.3,100,2,-100.0,-100.0,1
35,62743.3,67135.3,100,2,14.0,14.0,0
36,60622.4,47285.5,100,2,-44.0,-44.0,0
37,60464.1,52603.8,100,2,-26.0,-26.0,0
38,60269.6,66296.6,100,2,20.0,20.0,0
39,59271.2,63123.8,100,2,13.0,13.0,0
40,58311.8,55396.2,100,2,-10.0,-10.0,0
41,62170.2,66833.0,100,2,15.0,15.0,0
42,61418.8,62340.1,100,2,3.0,3.0,0
43,57274.9,46392.7,100,2,-38.0,-38.0,0
44,58736.3,42290.1,100,2,-56.0,-56.0,0
45,57478.8,31038.6,100,2,-100.0,-100.0,1
46,60535.6,45401.7,100,2,-50.0,-50.0,0
47,58367.4,63912.3,100,2,19.0,19.0,0
48,58193.0,49464.0,100,2,-30.0,-30.0,0
49,59041.5,60517.5,100,2,5.0,5.0,0
50,57932.9,54456.9,100,2,-12.0,-12.0,0
