dia,estado,operaciones,impulsivas,pnl_pct
2024-02-01,ansioso,3,2,-0.7
2024-02-02,calmado,1,0,0.8
2024-02-03,calmado,3,0,0.4
2024-02-04,tilt,6,5,-2.5
2024-02-05,calmado,1,0,-0.1
2024-02-06,ansioso,4,1,0.5
2024-02-07,tilt,4,3,-0.9
2024-02-08,calmado,4,0,0.5
2024-02-09,ansioso,4,1,-0.8
2024-02-10,calmado,2,0,-0.2
2024-02-11,calmado,2,0,0.6
2024-02-12,tilt,9,6,-2.0
2024-02-13,ansioso,3,1,0.1
2024-02-14,calmado,4,0,0.8
2024-02-15,ansioso,4,1,-0.8
2024-02-16,calmado,2,0,0.9
2024-02-17,ansioso,5,3,-0.2
2024-02-18,tilt,9,6,-1.7
2024-02-19,calmado,3,0,0.3
2024-02-20,tilt,9,6,-2.6
2024-02-21,calmado,4,0,1.0
2024-02-22,tilt,4,3,-1.9
2024-02-23,tilt,5,4,-1.1
2024-02-24,tilt,6,5,-2.8
2024-02-25,ansioso,6,3,-0.5
2024-02-26,tilt,7,4,-0.5
2024-02-27,tilt,5,4,-1.2
2024-02-28,tilt,6,3,-1.2
2024-02-29,calmado,1,0,0.9
2024-02-30,ansioso,2,1,0.2
2024-02-31,ansioso,3,1,0.3
2024-02-32,tilt,6,3,-2.2
2024-02-33,calmado,2,0,1.2
2024-02-34,calmado,3,0,0.5
2024-02-35,ansioso,5,3,0.0
2024-02-36,ansioso,4,1,-0.1
2024-02-37,tilt,7,4,-3.1
2024-02-38,ansioso,6,3,-0.4
2024-02-39,calmado,4,0,-0.3
2024-02-40,tilt,6,4,-0.8
2024-02-41,ansioso,3,2,-0.6
2024-02-42,calmado,1,0,1.3
2024-02-43,tilt,6,3,-1.5
2024-02-44,calmado,4,0,0.7
2024-02-45,calmado,3,0,1.1
2024-02-46,calmado,4,0,1.5
2024-02-47,calmado,4,0,0.9
2024-02-48,ansioso,5,2,0.4
2024-02-49,ansioso,4,1,-0.3
2024-02-50,calmado,1,0,0.2
