trade_id,tiene_plan,sigue_plan,r_multiple,resultado
1,no,no,-1.0,loss
2,si,si,2.2,win
3,no,no,-1.0,loss
4,si,si,-1.0,loss
5,no,no,-1.0,loss
6,no,no,-1.0,loss
7,si,si,1.3,win
8,si,si,1.4,win
9,no,no,1.5,win
10,no,no,1.2,win
11,si,si,1.7,win
12,no,no,-1.0,loss
13,si,si,-1.0,loss
14,no,no,-1.0,loss
15,si,si,1.9,win
16,si,si,-1.0,loss
17,no,no,-1.0,loss
18,no,no,-1.0,loss
19,no,no,-1.0,loss
20,no,no,-1.0,loss
21,no,no,-1.0,loss
22,si,si,1.6,win
23,si,si,-1.0,loss
24,si,si,1.1,win
25,si,si,-1.0,loss
26,si,si,-1.0,loss
27,si,si,1.5,win
28,si,si,-1.0,loss
29,no,no,-1.0,loss
30,si,si,1.0,win
31,si,si,1.2,win
32,no,no,-1.0,loss
33,no,no,1.8,win
34,si,si,1.0,win
35,no,no,-1.0,loss
36,si,si,-1.0,loss
37,si,si,-1.0,loss
38,si,si,-1.0,loss
39,si,si,2.3,win
40,si,si,-1.0,loss
41,si,si,1.1,win
42,no,no,2.0,win
43,no,no,1.0,win
44,si,si,1.0,win
45,si,si,2.5,win
46,si,si,1.8,win
47,si,si,2.1,win
48,no,no,2.2,win
49,si,si,1.2,win
50,si,si,2.0,win
