dia,pnl_diario_pct,dd_acum_pct,kill_switch
2024-03-01,0.8,0.0,0
2024-03-02,-1.2,-1.2,0
2024-03-03,1.5,0.0,0
2024-03-04,0.4,0.0,0
2024-03-05,-3.0,-3.0,1
2024-03-06,1.1,-1.93,0
2024-03-07,-0.8,-2.72,0
2024-03-08,2.0,-0.77,0
2024-03-09,0.6,-0.18,0
2024-03-10,-3.0,-3.17,1
2024-03-11,1.8,-1.43,0
2024-03-12,-1.5,-2.91,0
2024-03-13,0.9,-2.03,0
2024-03-14,0.3,-1.74,0
2024-03-15,-3.0,-4.69,1
2024-03-16,1.2,-3.54,0
2024-03-17,-0.5,-4.03,0
2024-03-18,0.7,-3.35,0
2024-03-19,1.9,-1.52,0
2024-03-20,-2.1,-3.59,0
2024-03-21,0.5,-3.1,0
2024-03-22,-3.0,-6.01,1
2024-03-23,1.4,-4.69,0
2024-03-24,-0.9,-5.55,0
2024-03-25,0.8,-4.8,0
2024-03-26,1.0,-3.84,0
2024-03-27,-1.8,-5.58,0
2024-03-28,-3.0,-8.41,1
2024-03-29,2.2,-6.39,0
2024-03-30,0.4,-6.02,0
2024-03-31,-0.6,-6.58,0
2024-03-32,1.6,-5.09,0
2024-03-33,-1.1,-6.13,0
2024-03-34,0.2,-5.94,0
2024-03-35,-3.0,-8.77,1
2024-03-36,1.3,-7.58,0
2024-03-37,-0.4,-7.95,0
2024-03-38,0.9,-7.12,0
2024-03-39,-1.4,-8.42,0
2024-03-40,1.7,-6.86,0
2024-03-41,0.1,-6.77,0
2024-03-42,-0.7,-7.42,0
2024-03-43,1.1,-6.41,0
2024-03-44,-1.0,-7.34,0
2024-03-45,0.6,-6.79,0
