dia,close,high,low,volumen
1,29958.19,30020.75,29925.41,8590
2,30862.37,30972.8,29893.02,2768
3,31028.45,31172.86,30821.7,6275
4,30217.13,31072.57,29977.11,9329
5,30559.88,30667.9,30172.75,3419
6,31508.54,31581.73,30472.94,4880
7,32152.12,32190.58,31463.45,5138
8,32080.72,32243.75,32000.57,4230
9,32889.03,32970.96,31829.48,10298
10,32820.56,33127.78,32748.75,3963
11,32319.46,32974.86,32299.28,8214
12,32153.56,32324.16,32010.37,4929
13,32980.37,33071.36,32054.59,3003
14,33926.61,33973.2,32854.69,3095
15,34642.82,34735.91,33889.47,10462
16,35397.65,35446.06,34583.4,9204
17,34415.27,35454.57,34302.32,11475
18,34162.28,34646.22,34152.93,10249
19,34411.42,34478.01,34051.55,7862
20,34105.09,34412.97,33931.93,10981
21,34017.57,34166.03,34016.29,5561
22,33010.79,34023.56,33001.87,8998
23,32749.7,33357.32,32687.63,8127
24,32775.51,32862.72,32745.5,5865
25,33585.88,33868.59,32621.02,6897
26,33225.73,33840.29,32932.84,9760
27,33295.0,33393.66,33035.95,9844
28,33796.76,33865.38,33280.91,8437
29,34182.61,34209.54,33523.07,10860
30,33237.25,34262.31,33042.02,6090
31,33003.84,33350.56,32908.78,3076
32,31362.82,33015.44,31275.02,3138
33,31123.85,31429.19,31093.51,4642
34,30995.39,31138.63,30931.0,10919
35,30463.25,31055.94,30435.26,3372
36,30166.41,30584.49,30103.88,9061
37,29478.51,30474.35,29390.63,10255
38,29791.37,29839.08,29358.82,6296
39,29754.59,29880.27,29532.94,7452
40,28526.17,29916.02,28268.3,10837
41,28740.38,28796.81,28500.08,3027
42,29285.13,29376.7,28732.06,9556
43,28789.39,29319.39,28642.75,8965
44,28804.95,28892.69,28499.22,7712
45,26424.5,28855.08,26189.81,7280
46,25157.98,26483.86,25126.85,7855
47,25038.01,25223.69,24979.9,7850
48,24852.53,25153.88,24788.57,7205
49,25159.66,25186.8,24845.44,8545
50,25643.31,25712.49,25005.95,3152
51,24070.09,25738.93,24010.36,4886
52,24232.24,24378.28,23935.35,5825
53,24713.89,24870.57,24013.61,8385
54,22536.24,24758.43,22409.56,10950
55,22696.81,22730.41,22468.33,7943
56,22617.13,22733.83,22494.23,4875
57,21762.58,22631.27,21686.14,4990
58,22014.01,22058.71,21711.09,9171
59,21643.67,22043.69,21518.81,3841
60,21467.57,21686.25,21443.47,3647
61,21158.53,21639.25,21042.42,4390
62,20519.86,21276.17,20433.88,10457
63,20079.72,20583.28,19934.43,11285
64,19759.43,20092.94,19747.42,9129
65,19341.7,19918.29,19248.96,4901
66,18851.12,19463.8,18755.04,10227
67,18947.51,19085.01,18805.47,4548
68,19507.48,19558.14,18911.03,3124
69,19543.47,19615.4,19443.07,5480
70,18919.41,19630.41,18744.66,4889
71,19190.57,19242.19,18879.17,7102
72,19613.41,19666.74,19163.33,8879
73,20406.34,20408.32,19588.76,8535
74,19800.63,20515.46,19750.82,5471
75,19518.32,19942.14,19497.43,6175
76,19793.86,19805.55,19479.24,6284
77,20280.68,20325.34,19743.75,7431
78,20063.48,20315.94,19926.99,7959
79,19880.43,20141.36,19739.48,11138
80,19823.89,19915.64,19769.44,8474
81,19696.32,19847.81,19689.87,9759
82,19988.79,20208.99,19631.48,8001
83,20022.77,20110.48,19875.62,5955
84,19748.14,20096.09,19651.74,10533
85,20209.56,20338.93,19720.39,8763
86,20841.73,21015.96,20145.83,3592
87,21109.83,21179.98,20773.83,9297
88,20977.03,21180.59,20814.56,6340
89,21306.48,21357.64,20917.88,9265
90,20973.06,21331.71,20829.71,6861
91,20987.92,21078.1,20965.68,10537
92,21315.49,21364.38,20920.92,3875
93,21391.9,21478.22,21285.61,9996
94,21408.4,21434.07,21186.71,2675
95,21764.8,21842.49,21340.89,6009
96,21635.58,21820.32,21543.23,9111
97,21878.98,22056.8,21621.25,5999
98,22315.26,22357.94,21744.89,10064
99,23289.49,23416.27,22215.62,8466
100,22965.7,23458.06,22885.7,4135
101,22928.44,23047.34,22829.83,5004
102,23638.81,23796.92,22846.08,6732
103,23623.77,23669.74,23618.03,11115
104,23767.84,23828.08,23604.15,2683
105,23881.5,23922.08,23706.48,8795
106,23749.25,23946.0,23636.32,9231
107,24329.7,24448.36,23732.39,5307
108,24377.85,24472.51,24304.29,8935
109,24960.19,25030.47,24243.29,10152
110,25407.08,25618.55,24762.49,9543
111,25114.45,25495.13,25022.73,10146
112,25083.92,25315.95,24926.72,8220
113,25404.79,25545.0,25057.46,4930
114,24209.21,25518.26,24182.77,6420
115,24153.71,24285.22,24133.73,10434
116,23977.41,24283.11,23948.45,5910
117,24791.47,24826.17,23936.97,5563
118,25552.03,25576.85,24715.45,2591
119,25721.03,25734.98,25380.26,8715
120,25761.53,25944.1,25710.5,3337
