era,id,feature_a,feature_b,target
1,activo_001,0.4997,-1.7893,0.6104
1,activo_002,0.0731,1.4745,0.4022
1,activo_003,-1.6594,0.3138,0.1559
1,activo_004,1.2265,-0.2558,0.846
1,activo_005,-0.1307,-1.0256,0.3762
2,activo_006,-0.3608,0.4453,0.5609
2,activo_007,0.2667,-0.739,0.653
2,activo_008,-1.4367,0.5049,0.1996
2,activo_009,1.4963,0.9914,0.6864
2,activo_010,-1.0218,0.551,0.3557
3,activo_011,-0.549,-0.622,0.6207
3,activo_012,-0.4009,0.4434,0.5798
3,activo_013,-1.4853,1.7867,0.2848
3,activo_014,-0.6474,-0.9516,0.3289
3,activo_015,0.9353,-2.5722,0.858
4,activo_016,0.1682,-0.6837,0.513
4,activo_017,-0.3673,-0.2303,0.5729
4,activo_018,-0.8352,1.0947,0.4169
4,activo_019,-0.2521,0.611,0.353
4,activo_020,0.0556,0.4996,0.7013
5,activo_021,-0.0507,-0.1504,0.5077
5,activo_022,-0.1826,-1.0785,0.7602
5,activo_023,-0.6222,-0.5863,0.365
5,activo_024,0.6914,2.9679,0.7394
5,activo_025,0.9892,0.3479,0.6172
6,activo_026,-1.0068,0.7449,0.2948
6,activo_027,2.093,-0.2744,0.6972
6,activo_028,-1.8407,-1.7836,0.4348
6,activo_029,0.3444,-1.1557,0.4463
6,activo_030,0.2841,-0.3566,0.5968
7,activo_031,-0.0172,-0.7859,0.3436
7,activo_032,0.1356,0.0988,0.5361
7,activo_033,0.9524,0.9345,0.511
7,activo_034,0.5897,-2.1861,0.7947
7,activo_035,-0.0308,1.0277,0.5431
8,activo_036,-0.9466,-0.1276,0.5085
8,activo_037,-0.5488,0.0745,0.3411
8,activo_038,0.5945,0.2981,0.4629
8,activo_039,-1.4349,-2.2374,0.5598
8,activo_040,-0.4514,-0.7007,0.4193
9,activo_041,-0.9287,0.6902,0.3899
9,activo_042,-2.2619,-0.0283,0.2151
9,activo_043,-0.3257,0.1073,0.6499
9,activo_044,0.3242,1.2131,0.5857
9,activo_045,-1.528,1.8002,0.2061
10,activo_046,-0.2854,0.856,0.6698
10,activo_047,-0.7923,-0.6848,0.4787
10,activo_048,-1.7951,-1.1235,0.3295
10,activo_049,0.7664,0.558,0.6731
10,activo_050,1.1074,-0.4377,0.6508
11,activo_051,-0.3139,-0.326,0.6171
11,activo_052,0.8859,-2.0855,0.8031
11,activo_053,-1.07,-1.1279,0.5882
11,activo_054,1.3538,1.2007,0.6899
11,activo_055,1.8535,-1.1535,0.8685
12,activo_056,-0.6815,-0.6122,0.2581
12,activo_057,1.5613,1.8182,0.6994
12,activo_058,-0.5848,0.1939,0.28
12,activo_059,-0.2608,1.5572,0.5505
12,activo_060,0.699,0.8132,0.5297
