era,activo,pred,actual,mm_pred
1,activo_001,0.2503,-0.3118,-0.0470
1,activo_002,-2.0315,-0.8991,0.0071
1,activo_003,-0.2322,1.1271,1.3832
1,activo_004,1.3208,-0.4299,0.0860
1,activo_005,0.5411,-0.3359,-0.1124
2,activo_006,0.1232,0.1292,-0.0130
2,activo_007,0.8669,0.6342,0.4945
2,activo_008,0.2737,1.8126,0.6745
2,activo_009,-0.2111,0.8247,1.1946
2,activo_010,0.3190,0.7127,0.6235
3,activo_011,-1.2411,-0.5866,0.1353
3,activo_012,0.6345,0.9431,0.4606
3,activo_013,-1.7769,-2.1271,-1.2963
3,activo_014,0.9712,0.2337,-0.1430
3,activo_015,0.1053,-0.7802,-0.4534
4,activo_016,-0.0901,-1.3686,-1.1131
4,activo_017,-0.9570,-0.5615,-0.1013
4,activo_018,0.4189,1.0737,0.7350
4,activo_019,1.1191,-0.4714,0.5157
4,activo_020,-0.0403,-0.5955,0.1722
5,activo_021,-0.1991,0.4263,0.1320
5,activo_022,0.7025,0.7268,-0.0650
5,activo_023,-0.3406,0.4469,-0.8427
5,activo_024,0.6750,0.1739,0.3079
5,activo_025,1.9311,1.4690,0.9113
6,activo_026,-0.4143,-0.6433,-1.0462
6,activo_027,-0.0762,-0.0362,0.0701
6,activo_028,-0.6191,1.0946,0.9230
6,activo_029,0.1516,-0.5406,-0.1835
6,activo_030,-0.0967,-1.0354,-0.8875
7,activo_031,-0.0414,0.5229,0.0227
7,activo_032,1.2104,0.1125,0.4033
7,activo_033,0.9860,-0.0196,0.0055
7,activo_034,-0.7594,-0.2975,-0.0652
7,activo_035,-0.3394,0.1166,-0.8987
8,activo_036,-0.0150,-0.1399,-0.2675
8,activo_037,-1.2157,-0.9533,-0.7189
8,activo_038,0.9094,1.3629,-0.1348
8,activo_039,0.1172,0.6433,1.4912
8,activo_040,-0.2238,-0.3133,-0.0596
9,activo_041,0.2032,0.2869,0.1692
9,activo_042,-0.4637,-0.2196,-0.2967
9,activo_043,-1.0276,-1.1844,-0.9240
9,activo_044,-0.5274,-0.4337,-0.2878
9,activo_045,0.0858,0.4524,0.2716
10,activo_046,-0.0265,0.2703,0.0626
10,activo_047,-0.8061,0.3554,0.5063
10,activo_048,-2.4976,-0.4724,0.0307
10,activo_049,-0.1858,-1.2014,-1.0930
10,activo_050,0.2733,-0.2106,-0.5034
11,activo_051,-0.6657,-0.9954,0.1874
11,activo_052,1.5001,1.0997,0.7422
11,activo_053,0.9352,0.4883,0.5284
11,activo_054,-0.0134,-0.8050,-0.6492
11,activo_055,-0.4087,-0.8199,-0.4498
12,activo_056,0.6907,0.8727,0.2226
12,activo_057,-0.3771,-0.0601,-0.1919
12,activo_058,1.0078,1.2661,0.4464
12,activo_059,-0.5480,-0.3202,-0.2539
12,activo_060,-0.5247,-1.4864,-0.8781
