era,activo,pred,beta,ret_futuro
1,activo_001,-0.1207,0.5,-0.0339
1,activo_002,-0.1350,1.0,-0.0458
1,activo_003,0.6810,1.5,0.0337
1,activo_004,0.9499,1.5,0.0333
1,activo_005,1.2873,0.8,0.0663
2,activo_006,0.4775,1.0,-0.0375
2,activo_007,0.0653,0.5,0.0272
2,activo_008,-0.3412,0.5,-0.0461
2,activo_009,0.6266,1.5,-0.0676
2,activo_010,-0.5204,1.0,-0.0094
3,activo_011,0.2422,0.8,0.0037
3,activo_012,0.2842,1.2,-0.0258
3,activo_013,-0.0516,0.8,-0.0618
3,activo_014,-0.4172,0.5,0.0069
3,activo_015,0.3619,1.5,-0.0026
4,activo_016,0.5052,1.0,-0.0299
4,activo_017,1.2490,1.2,-0.0309
4,activo_018,0.6948,1.2,-0.0276
4,activo_019,1.1482,1.5,-0.0279
4,activo_020,0.1549,1.2,0.0030
5,activo_021,0.8916,1.0,0.0637
5,activo_022,0.1990,1.5,0.0161
5,activo_023,1.3536,1.0,0.0363
5,activo_024,0.9426,0.8,0.0391
5,activo_025,1.0086,1.2,0.0628
6,activo_026,0.6265,0.8,-0.0347
6,activo_027,-0.5692,0.8,-0.0378
6,activo_028,0.6112,1.5,-0.0080
6,activo_029,-1.1506,0.8,-0.0660
6,activo_030,0.2636,1.2,-0.0206
7,activo_031,2.0614,1.2,0.0317
7,activo_032,0.0565,0.5,0.0045
7,activo_033,1.0298,1.5,0.0345
7,activo_034,0.3313,1.2,-0.0227
7,activo_035,0.1196,1.0,0.0382
8,activo_036,0.1796,1.5,-0.0242
8,activo_037,0.1451,0.5,-0.0348
8,activo_038,-0.3241,0.5,-0.0166
8,activo_039,1.1853,0.5,0.0393
8,activo_040,0.6608,1.2,0.0218
9,activo_041,-1.0029,0.8,-0.0210
9,activo_042,-0.8393,0.5,-0.0619
9,activo_043,0.7209,1.2,-0.0271
9,activo_044,0.0569,1.0,-0.0450
9,activo_045,0.5842,1.0,0.0287
10,activo_046,1.2293,1.0,-0.0049
10,activo_047,-0.1445,0.5,-0.0201
10,activo_048,0.6141,0.8,0.0324
10,activo_049,-0.4291,1.5,-0.0675
10,activo_050,1.4176,1.5,-0.0157
11,activo_051,-0.0875,1.5,-0.0493
11,activo_052,0.7729,1.5,-0.0063
11,activo_053,1.9859,1.5,-0.0089
11,activo_054,0.2385,1.5,-0.0189
11,activo_055,-0.2451,1.2,-0.0366
12,activo_056,0.6088,1.2,-0.0961
12,activo_057,0.9324,1.2,-0.0061
12,activo_058,-0.6837,1.5,-0.0909
12,activo_059,0.2437,1.2,-0.0449
12,activo_060,1.0755,1.5,-0.0824
