ronda,corr_estimado,vol
1,0.0336,0.1548
2,0.0737,0.2438
3,-0.0479,0.1767
4,-0.0255,0.1899
5,-0.0619,0.1347
6,0.1264,0.1689
7,0.0991,0.1387
8,0.1182,0.0557
9,0.0618,0.2736
10,0.0691,0.1427
11,-0.0173,0.1558
12,0.1067,0.2165
13,-0.0149,0.1555
14,0.0034,0.1608
15,0.0149,0.1715
16,-0.0017,0.0924
17,0.0644,0.2262
18,0.0208,0.1680
19,0.0274,0.1195
20,0.0217,0.1965
21,0.0839,0.1678
22,0.0057,0.1024
23,0.0230,0.1576
24,0.0470,0.1500
25,-0.0358,0.1668
26,0.0107,0.1687
27,0.0514,0.1857
28,0.0766,0.0900
29,0.0365,0.1501
30,0.0031,0.1039
31,0.0877,0.1748
32,0.0211,0.0834
33,0.0313,0.0405
34,0.0373,0.1282
35,0.0275,0.2773
36,0.0083,0.2075
37,0.0490,0.1542
38,-0.0166,0.2743
39,0.0100,0.1403
40,0.0137,0.1407
41,-0.0074,0.1927
42,0.0334,0.1654
43,0.0357,0.1464
44,0.0330,0.1266
45,0.0238,0.1467
46,0.0520,0.2026
47,0.0981,0.0845
48,0.0702,0.1166
49,-0.0954,0.2171
50,0.0756,0.2766
51,-0.0448,0.0580
52,-0.0412,0.1703
53,0.0351,0.2316
54,-0.0240,0.1389
55,0.0922,0.1211
56,0.0579,0.2121
57,-0.0025,0.1223
58,-0.0357,0.1139
59,0.0432,0.1214
60,0.0790,0.0805
