dia,score_demo,equity_demo
1,0.0926,100.93
2,0.0190,101.12
3,0.0237,101.36
4,0.0114,101.48
5,-0.0852,100.62
6,0.0222,100.84
7,-0.0601,100.23
8,0.0256,100.49
9,-0.0129,100.36
10,0.0692,101.05
11,0.0057,101.11
12,0.0157,101.27
13,-0.0388,100.88
14,0.0471,101.36
15,0.0060,101.42
16,0.0460,101.89
17,0.0555,102.46
18,0.0539,103.01
19,0.0031,103.04
20,-0.0796,102.22
21,-0.0436,101.77
22,0.0568,102.35
23,0.0655,103.02
24,0.0797,103.84
25,-0.0125,103.71
26,-0.0341,103.36
27,0.0607,103.99
28,0.0587,104.6
29,0.0161,104.77
30,0.0148,104.92
31,-0.0525,104.37
32,0.0046,104.42
33,0.0813,105.27
34,-0.0308,104.95
35,-0.0085,104.86
36,0.0075,104.94
37,-0.0013,104.93
38,-0.0753,104.14
39,-0.0100,104.04
40,-0.0132,103.9
41,-0.0007,103.89
42,-0.0048,103.84
43,0.0153,104.0
44,-0.0349,103.64
45,0.0996,104.67
46,-0.0008,104.66
47,0.0883,105.58
48,0.0882,106.51
49,0.0214,106.74
50,-0.0439,106.27
51,-0.0933,105.28
52,-0.0611,104.64
53,0.0004,104.64
54,0.0230,104.88
55,-0.0241,104.63
56,-0.0109,104.52
57,0.1498,106.09
58,0.0288,106.4
59,-0.0456,105.92
60,0.0444,106.39
