trade_id,setup,lado,entrada,salida,stop,take,resultado_R,emocion,siguio_plan
1,ruptura,short,31311.08,31249.08,31499.920000000002,30933.4,0.62,tilt,0
2,ruptura,short,29944.21,29811.21,30171.76,29489.11,1.33,ansioso,1
3,ruptura,long,30317.09,30259.09,29969.2,31012.87,-0.58,ansioso,0
4,momentum_era,long,29310.7,29110.7,29032.31,29867.48,-2.0,tilt,0
5,ruptura,long,31003.74,31056.74,30632.600000000002,31746.02,0.53,calmado,1
6,momentum_era,short,32163.69,32177.69,32561.969999999998,31367.129999999997,-0.14,ansioso,0
7,rebote,short,29021.62,28847.62,29343.02,28378.82,1.74,tilt,0
8,momentum_era,short,31095.02,30957.02,31366.170000000002,30552.72,1.38,calmado,1
9,rebote,long,28443.73,28395.73,28223.14,28884.91,-0.48,tilt,1
10,momentum_era,short,30136.87,30210.87,30386.27,29638.07,-0.74,ansioso,1
11,reversal,short,27979.91,27936.91,28265.81,27408.11,0.43,tilt,1
12,reversal,short,31419.54,31503.54,31690.74,30877.14,-0.84,ansioso,0
13,reversal,short,31028.36,30858.36,31306.54,30472.0,1.7,calmado,1
14,rebote,long,27609.37,27722.37,27399.73,28028.649999999998,1.13,tilt,1
15,rebote,short,30013.68,30213.68,30272.75,29495.54,-2.0,calmado,0
16,momentum_era,short,30781.44,30783.44,31079.53,30185.26,-0.02,ansioso,1
17,reversal,short,29332.39,29185.39,29551.52,28894.13,1.47,tilt,1
18,reversal,short,31146.53,31190.53,31364.489999999998,30710.61,-0.44,calmado,1
19,reversal,long,28412.89,28303.89,28086.5,29065.67,-1.09,calmado,1
20,reversal,long,32096.37,32060.37,31879.32,32530.469999999998,-0.36,calmado,1
21,reversal,short,27879.1,28027.1,28114.8,27407.699999999997,-1.48,calmado,1
22,rebote,long,30640.04,30853.04,30436.68,31046.760000000002,2.13,calmado,1
23,reversal,short,31120.47,30968.47,31317.030000000002,30727.350000000002,1.52,tilt,1
24,ruptura,long,30590.61,30584.61,30191.87,31388.09,-0.06,calmado,0
25,ruptura,long,31591.25,31724.25,31365.94,32041.87,1.33,ansioso,1
26,momentum_era,short,31062.39,31080.39,31257.67,30671.829999999998,-0.18,calmado,1
27,momentum_era,short,32198.36,32172.36,32398.440000000002,31798.2,0.26,calmado,0
28,momentum_era,long,31068.92,31033.92,30829.019999999997,31548.719999999998,-0.35,tilt,1
29,ruptura,long,29181.9,29334.9,28994.230000000003,29557.24,1.53,tilt,0
30,momentum_era,long,28288.17,28194.17,27945.969999999998,28972.57,-0.94,calmado,0
