dia,pnl_diario_pct,dd_acum_pct,kill_switch
2024-05-01,-1.06,0.0,0
2024-05-02,0.1,0.0,0
2024-05-03,0.48,0.0,0
2024-05-04,-0.41,-0.41,0
2024-05-05,-1.73,-2.13,0
2024-05-06,-1.33,-3.43,0
2024-05-07,-3.0,-6.33,1
2024-05-08,0.7,-5.68,0
2024-05-09,-2.31,-7.85,0
2024-05-10,-1.2,-8.96,0
2024-05-11,-0.38,-9.31,0
2024-05-12,1.1,-8.31,0
2024-05-13,0.52,-7.83,0
2024-05-14,-0.59,-8.38,0
2024-05-15,1.88,-6.65,0
2024-05-16,-0.3,-6.93,0
2024-05-17,-1.15,-8.0,0
2024-05-18,1.95,-6.21,0
2024-05-19,0.47,-5.77,0
2024-05-20,0.38,-5.41,0
2024-05-21,-0.05,-5.46,0
2024-05-22,2.16,-3.42,0
2024-05-23,0.72,-2.72,0
2024-05-24,0.57,-2.17,0
2024-05-25,-3.0,-5.1,1
2024-05-26,2.21,-3.0,0
2024-05-27,0.78,-2.25,0
2024-05-28,-0.73,-2.96,0
2024-05-29,0.28,-2.69,0
2024-05-30,0.01,-2.68,0
2024-05-31,-0.28,-2.95,0
2024-06-01,0.39,-2.57,0
2024-06-02,-3.0,-5.5,1
2024-06-03,0.47,-5.05,0
2024-06-04,0.02,-5.03,0
2024-06-05,-1.53,-6.49,0
2024-06-06,-1.59,-7.97,0
2024-06-07,-0.74,-8.65,0
2024-06-08,-1.42,-9.95,0
2024-06-09,1.47,-8.63,0
2024-06-10,2.1,-6.71,0
2024-06-11,-0.35,-7.03,0
2024-06-12,-0.4,-7.41,0
2024-06-13,-1.11,-8.43,0
2024-06-14,1.85,-6.74,0
