trade,ret_bruto_bps,costo_bps,ret_neto_bps,checklist_ok,siguio_plan
1,-7.0,4.0,-11.0,1,1
2,25.4,4.0,21.4,1,1
3,55.7,4.0,51.7,0,0
4,35.0,4.0,31.0,1,1
5,-4.3,4.0,-8.3,1,1
6,-35.1,4.0,-39.1,1,1
7,-86.2,4.0,-90.2,1,1
8,5.2,4.0,1.2,1,1
9,37.0,4.0,33.0,1,1
10,29.8,4.0,25.8,1,1
11,6.0,4.0,2.0,1,1
12,37.7,4.0,33.7,0,0
13,74.3,4.0,70.3,1,1
14,-47.6,4.0,-51.6,1,1
15,-72.4,4.0,-76.4,1,1
16,50.6,4.0,46.6,1,1
17,31.4,4.0,27.4,1,1
18,-8.3,4.0,-12.3,1,1
19,51.4,4.0,47.4,0,1
20,34.0,4.0,30.0,1,1
21,55.1,4.0,51.1,1,1
22,39.6,4.0,35.6,0,1
23,-45.0,4.0,-49.0,1,1
24,-10.4,4.0,-14.4,0,1
25,56.5,4.0,52.5,0,0
26,54.4,4.0,50.4,0,0
27,-0.5,4.0,-4.5,1,1
28,1.0,4.0,-3.0,1,1
29,42.2,4.0,38.2,1,1
30,29.1,4.0,25.1,1,1
31,63.7,4.0,59.7,1,1
32,4.2,4.0,0.2,1,1
33,19.4,4.0,15.4,1,1
34,53.3,4.0,49.3,1,1
35,11.0,4.0,7.0,1,1
36,-0.3,4.0,-4.3,0,0
37,1.0,4.0,-3.0,1,1
38,-21.7,4.0,-25.7,1,1
39,-24.0,4.0,-28.0,0,0
40,32.7,4.0,28.7,0,0
41,-3.7,4.0,-7.7,1,1
42,-13.3,4.0,-17.3,1,1
43,56.4,4.0,52.4,0,0
44,98.9,4.0,94.9,0,0
45,23.8,4.0,19.8,1,1
46,10.1,4.0,6.1,1,1
47,-5.1,4.0,-9.1,0,0
48,27.3,4.0,23.3,1,1
49,-51.8,4.0,-55.8,1,1
50,-13.3,4.0,-17.3,1,1
51,-56.1,4.0,-60.1,1,1
52,67.8,4.0,63.8,1,1
53,-10.2,4.0,-14.2,0,0
54,9.7,4.0,5.7,1,1
55,-3.1,4.0,-7.1,1,1
56,-3.8,4.0,-7.8,1,1
57,-42.8,4.0,-46.8,1,1
58,23.4,4.0,19.4,1,1
59,-88.5,4.0,-92.5,0,0
60,-13.1,4.0,-17.1,0,1
